Form Name,Section,Subsection,Question,Answer Type,Expected Data Element,Business Definition
Form ADV,Item 1,1.F(2),"Days of week that you normally conduct business at your principal office and place of business: Monday - Friday, Other: Normal business hours at this location:","Checkbox, Text","Business Days, Business Hours",The days of the week and the normal business hours during which business is conducted at the principal office and place of business of the adviser.
Form ADV,Item 1,1.F(3),Telephone number at this location: (area code),Text,Telephone Number,The telephone number at the principal office and place of business.
Form ADV,Item 1,1.F(4),"Facsimile number at this location, if any: (area code)",Text,Facsimile Number,"The facsimile (fax) number at the principal office and place of business, if available."
Form ADV,Item 1,1.F(5),"What is the total number of offices, other than your principal office and place of business, at which you conduct investment advisory business as of the end of your most recently completed fiscal year?",Number,Number of Offices,"The total number of offices, excluding the principal office, where investment advisory business is conducted as of the end of the most recent fiscal year."
Form ADV,Item 1,1.G,"Mailing address, if different from your principal office and place of business address: (number and street, city, state/country, zip +4/postal code)",Text,Mailing Address,"The mailing address, if different from the principal office and place of business address."
Form ADV,Item 1,1.H,"If you are a sole proprietor, state your full residence address, if different from your principal office and place of business address in Item 1.F .: (number and street, city, state/country, zip +4/postal code)",Text,Residence Address,"The full residence address of the sole proprietor, if it is different from the principal office and place of business address."
Form ADV,Item 1,1.I,"Do you have one or more websites or accounts on publicly available social media platforms (including, but not limited to, Twitter, Facebook and LinkedIn)? Yes/No",Checkbox,"Websites/Social Media [Yes/No], List of Websites/Social Media","Indicates whether the adviser has any websites or accounts on publicly available social media platforms, and if so, lists those websites and social media accounts."
Form ADV,Item 1,1.J(1),Provide the name and contact information of your Chief Compliance Officer.,Text,"CCO Name, CCO Contact Information",The name and contact information of the Chief Compliance Officer (CCO).
Form ADV,Item 1,1.J(2),"If your Chief Compliance Officer is compensated or employed by any person other than you, a related person or an investment company registered under the Investment Company Act of 1940 that you advise for providing chief compliance officer services to you, provide the person's name and IRS Employer Identification Number (if any):",Text,"CCO Employer Name, CCO Employer EIN","The name and IRS Employer Identification Number (EIN) of the entity compensating or employing the Chief Compliance Officer, other than the adviser."
Form ADV,Item 1,1.K,"Additional Regulatory Contact Person: If a person other than the Chief Compliance Officer is authorized to receive information and respond to questions about this Form ADV, you may provide that information here.",Text,Additional Contact Name and Information,The name and contact information of an additional regulatory contact person authorized to receive information and respond to questions about the Form ADV.
Form ADV,Item 1,1.L,"Do you maintain some or all of the books and records you are required to keep under Section 204 of the Advisers Act, or similar state law, somewhere other than your principal office and place of business? Yes/No",Checkbox,"Books and Records Location [Yes/No], Address","Indicates whether books and records are maintained somewhere other than the principal office and place of business, and if so, provides the address."
Form ADV,Item 1,1.M,Are you registered with a foreign financial regulatory authority? Yes/No,Checkbox,"Foreign Regulatory Registration [Yes/No], Authority Name","Indicates whether the adviser is registered with any foreign financial regulatory authority, and provides the name of the authority if applicable."
Form ADV,Item 1,1.N,Are you a public reporting company under Sections 12 or 15(d) of the Securities Exchange Act of 1934? Yes/No,Checkbox,Public Reporting Company [Yes/No],Indicates whether the adviser is a public reporting company under Sections 12 or 15(d) of the Securities Exchange Act of 1934.
Form ADV,Item 1,1.O,Did you have $1 billion or more in assets on the last day of your most recent fiscal year? Yes/No,Checkbox,Assets > $1 Billion [Yes/No],Indicates whether the adviser had $1 billion or more in assets on the last day of their most recent fiscal year.
Form ADV,Item 1,1.P,Provide your Legal Entity Identifier if you have one:.,Text,Legal Entity Identifier,"The Legal Entity Identifier (LEI) of the adviser, if available."
Form ADV,Item 2,2.A,"To register (or remain registered) with the SEC, you must check at least one of the Items 2.A.(1) through 2.A.(12), below. If you are submitting an annual updating amendment to your SEC registration and you are no longer eligible to register with the SEC, check Item 2.A.(13). Part 1A Instruction 2 provides information to help you determine whether you may affirmatively respond to each of these items.",Checkbox,SEC Registration Eligibility Check,Indicates the basis under which the adviser is eligible to register or remain registered with the SEC.
Form ADV,Item 2,2.A(1)(a),You (the adviser): are a large advisory firm that has regulatory assets under management of $100 million (in U.S. dollars) or more;,Checkbox,"Large Advisory Firm [Yes/No], RAUM Amount",Indicates whether the adviser is a large firm with regulatory assets under management (RAUM) of $100 million or more.
Form ADV,Item 2,2.A(1)(b),You (the adviser): are a large advisory firm that has regulatory assets under management of $90 million (in U.S. dollars) or more at the time of filing its most recent annual updating amendment and is registered with the SEC;,Checkbox,"Large Advisory Firm [Yes/No], RAUM Amount",Indicates whether the adviser is a large firm with regulatory assets under management (RAUM) of $90 million or more at the time of the most recent amendment.
Form ADV,Item 2,2.A(2)(a),You (the adviser): are a mid-sized advisory firm that has regulatory assets under management of $25 million (in U.S. dollars) or more but less than $100 million (in U.S. dollars) and you are not required to be registered as an adviser with the state securities authority of the state where you maintain your principal office and place of business;,Checkbox,"Mid-Sized Advisory Firm [Yes/No], RAUM Amount","Indicates whether the adviser is a mid-sized firm with regulatory assets under management (RAUM) of $25-100 million, not required to register with state authorities."
Form ADV,Item 2,2.A(2)(b),You (the adviser): are a mid-sized advisory firm that has regulatory assets under management of $25 million (in U.S. dollars) or more but less than $100 million (in U.S. dollars) and you are not subject to examination by the state securities authority of the state where you maintain your principal office and place of business;,Checkbox,"Mid-Sized Advisory Firm [Yes/No], RAUM Amount","Indicates whether the adviser is a mid-sized firm with regulatory assets under management (RAUM) of $25-100 million, not subject to state examination."
Form ADV,Item 2,2.A(3),You (the adviser): Reserved;,Checkbox,Reserved,Placeholder for a reserved item with no current use.
Form ADV,Item 2,2.A(4),You (the adviser): have your principal office and place of business outside the United States;,Checkbox,Principal Office Outside USA [Yes/No],Indicates whether the adviser's principal office and place of business are located outside the United States.
Form ADV,Item 2,2.A(5),You (the adviser): are an investment adviser (or subadviser) to an investment company registered under the Investment Company Act of 1940;,Checkbox,Investment Adviser to Registered Investment Company [Yes/No],Indicates whether the adviser or is an investment adviser or subadviser to a company registered under the Investment Company Act of 1940.
Form ADV,Item 2,2.A(6),"You (the adviser): are an investment adviser to a company which has elected to be a business development company pursuant to section 54 of the Investment Company Act of 1940 and has not withdrawn the election, and you have at least $25 million of regulatory assets under management;",Checkbox,Investment Adviser to Business Development Company [Yes/No],Indicates whether the adviser is an investment adviser to a company that elected as a business development company under the Investment Company Act of 1940.
Form ADV,Item 2,2.A(7),"You (the adviser): are a pension consultant with respect to assets of plans having an aggregate value of at least $200,000,000 that qualifies for the exemption in rule 203A-2(a);",Checkbox,"Pension Consultant [Yes/No], Asset Value","Indicates whether the adviser is a pension consultant with assets under management of at least $200 million, qualifying for rule 203A-2(a) exemption."
Form ADV,Item 2,2.A(8),"You (the adviser): are a related adviser under rule 203A-2(b) that controls, is controlled by, or is under common control with, an investment adviser that is registered with the SEC, and your principal office and place of business is the same as the registered adviser. If you check this box, complete Section 2.A.(8) of Schedule D.",Checkbox,"Related Adviser Under 203A-2(b) [Yes/No], Control Type","Indicates whether the adviser is related under rule 203A-2(b), either controlling, being controlled by, or under common control with an SEC-registered adviser."
Form ADV,Item 2,2.A(9),"You (the adviser): are an adviser relying on rule 203A-2(c) because you expect to be eligible for SEC registration within 120 days; If you check this box, complete Section 2.A.(9) of Schedule D.",Checkbox,Adviser Relying on 203A-2(c) [Yes/No],Indicates whether the adviser is relying on rule 203A-2(c) and expects to be eligible for SEC registration within 120 days.
Form ADV,Item 2,2.A(10),"You (the adviser): are a multi-state adviser that is required to register in 15 or more states and is relying on rule 203A-2(d); If you check this box, complete Section 2.A.(10) of Schedule D.",Checkbox,"Multi-State Adviser [Yes/No], Number of States",Indicates whether the adviser is a multi-state adviser required to register in 15 or more states and is relying on rule 203A-2(d).
Form ADV,Item 2,2.A(11),"You (the adviser): are an Internet adviser relying on rule 203A-2(e); If you check this box, complete Section 2.A.(11) of Schedule D.",Checkbox,Internet Adviser [Yes/No],"Indicates whether the adviser is an Internet adviser, relying on rule 203A-2(e)."
Form ADV,Item 2,2.A(12),"You (the adviser): have received an SEC order exempting you from the prohibition against registration with the SEC; If you check this box, complete Section 2.A.(12) of Schedule D.",Checkbox,"SEC Order Exemption [Yes/No], Order Details","Indicates whether the adviser has received an SEC order exempting them from prohibition against registration with the SEC, along with order details."
Form ADV,Item 2,2.A(13),You (the adviser): are no longer eligible to remain registered with the SEC.,Checkbox,No Longer Eligible for SEC Registration [Yes/No],Indicates whether the adviser is no longer eligible to remain registered with the SEC.
Form ADV,Item 2,2.B,Complete this Item 2.B. only if you are reporting to the SEC as an exempt reporting adviser. Check all that apply. You:,N/A,Exempt Reporting Adviser Check,Indicates the adviser's status as an exempt reporting adviser.
Form ADV,Item 2,2.B(1),"You (the adviser): qualify for the exemption from registration as an adviser solely to one or more venture capital funds, as defined in rule 203(l)-1;",Checkbox,Exempt as Adviser to Venture Capital Fund [Yes/No],"Indicates whether the adviser qualifies for exemption as an adviser solely to venture capital funds, defined under rule 203(l)-1."
Form ADV,Item 2,2.B(2),"You (the adviser): qualify for the exemption from registration because you act solely as an adviser to private funds and have assets under management, as defined in rule 203(m)-1, in the United States of less than $150 million;",Checkbox,Exempt as Adviser to Private Funds with < $150M RAUM [Yes/No],Indicates whether the adviser qualifies for exemption as an adviser to private funds with assets under management of less than $150 million.
Form ADV,Item 2,2.B(3),"You (the adviser): act solely as an adviser to private funds but you are no longer eligible to check box 2.B.(2) because you have assets under management, as defined in rule 203(m)-1, in the United States of $150 million or more.",Checkbox,Adviser to Private Funds with $150M+ RAUM [Yes/No],Indicates whether the adviser is no longer eligible for exemption as adviser to private funds due to assets under management of $150 million or more.
Form ADV,Item 2,2.B(4),"If you check box 2.B.(2) or 2.B.(3), complete Section 2.B. of Schedule D.",Checkbox,Complete Section 2.B of Schedule D [Yes/No],Indicates when Section 2.B of Schedule D needs to be completed.
Form ADV,Item 2,2.C,"Under state laws, SEC-registered advisers may be required to provide to state securities authorities a copy of the Form ADV and any amendments they file with the SEC. These are called notice filings. In addition, exempt reporting advisers may be required to provide state securities authorities with a copy of reports and any amendments they file with the SEC. If this is an initial application or report, check the box(es) next to the state(s) that you would like to receive notice of this and all subsequent filings or reports you submit to the SEC. If this is an amendment to direct your notice filings or reports to additional state(s), check the box(es) next to the state(s) that you would like to receive notice of this and all subsequent filings or reports you submit to the SEC. If this is an amendment to your registration to stop your notice filings or reports from going to states that currently receive them, uncheck the box(es) next to those state(s).",N/A,State Notice Filings Check [State Names],"Indicates the states that will receive notice filings or reports based on the adviser's initial application, amendments, or updates."
Form ADV,Item 2,2.C(1),"If you are amending your registration to stop your notice filings or reports from going to a state that currently receives them and you do not want to pay that state’s notice filing or report filing fee for the coming year, your amendment must be filed before the end of the year (December 31).",Checkbox,Amendment for State Notice Filings [State Names],Indicates which states are impacted when amending registrations to stop notice filings or reports and avoid filing fees for the upcoming year.
Form ADV,Item 3,3.A,"How are you organized? (Corporation, Partnership, Other (specify), Sole Proprietorship, Limited Liability Partnership (LLP), Limited Liability Company (LLC), Limited Partnership (LP))",Dropdown/Multiple Choice,Organization Type,The legal structure under which the adviser entity is organized.
Form ADV,Item 3,3.A.Instruction,"If you are changing your response to this item, see Part 1A Instruction 4.",Instruction Text,Organization Change Instruction,Instruction referencing where to find more information if organization type changes.
Form ADV,Item 3,3.B,In what month does your fiscal year end each year?,Dropdown,Fiscal Year End Month,The specific month in which the adviser's fiscal year concludes annually.
Form ADV,Item 3,3.C,Under the laws of what state or country are you organized?,Dropdown/Multiple Choice,State/Country of Organization,The state or country legislation under which the advisory entity is officially formed.
Form ADV,Item 3,3.C.Partnership,"If you are a partnership, provide the name of the state or country under whose laws your partnership was formed.",Text,Partnership Formation Location,The state or country under whose legal jurisdiction the partnership organization was established.
Form ADV,Item 3,3.C.SoleProprietor,"If you are a sole proprietor, provide the name of the state or country where you reside.",Text,Sole Proprietor Residence Location,The state or country in which a sole proprietor resides.
Form ADV,Item 3,3.C.Instruction,"If you are changing your response to this item, see Part 1A Instruction 4.",Instruction Text,Organization Change Instruction,Instruction on where to find details when updating the organizational information.
Form ADV,Item 4,4.A,"Are you, at the time of this filing, succeeding to the business of a registered investment adviser, including, for example, a change of your structure or legal status (e.g., form of organization or state of incorporation)? (Yes/No)",Radio Button,Successor to Business [Yes/No],"Whether the adviser is succeeding to an already registered advisory business, leading to entity structure or legal modifications."
Form ADV,Item 4,4.A.Instruction,"If ""yes,"" complete Item 4.B. and Section 4 of Schedule D.",Instruction Text,Successor Instruction,Guidance to provide additional forms and sections if succeeding another registered advisory business.
Form ADV,Item 4,4.B,Date of Succession: (mm/dd/yyyy),Date Picker,Succession Date (MM/DD/YYYY),The date on which succession or transfer of business from the predecessor to the current adviser occurred.
Form ADV,Item 4,4.B.Instruction,"If you have already reported this succession on a previous Form ADV filing, do not report the succession again. Instead, check ""No."" See Part 1A Instruction 4.",Instruction Text,Succession Reporting Instruction,"Instructions on avoiding redundancy in successive reporting if previously documented, with reference to the guidance."
Form ADV,Item 5,5.A,Approximately how many employees do you have? Include full- and part-time employees but do not include any clerical workers.,Number,Number of Employees,The total count of full- and part-time employees excluding clerical workers.
Form ADV,Item 5,5.B(1),Approximately how many of the employees reported in 5.A. perform investment advisory functions (including research)?,Number,Advisory Function Employees,"Number of employees performing investment advisory functions, including research, out of the total employees reported in 5.A."
Form ADV,Item 5,5.B(2),Approximately how many of the employees reported in 5.A. are registered representatives of a broker-dealer?,Number,Registered Representatives of Broker-Dealer,Number of employees registered as representatives of a broker-dealer among the employees reported in 5.A.
Form ADV,Item 5,5.B(3),Approximately how many of the employees reported in 5.A. are registered with one or more state securities authorities as investment adviser representatives?,Number,State-Registered Investment Adviser Representatives,Number of employees registered with one or more state securities authorities as investment adviser representatives among the employees reported in 5.A.
Form ADV,Item 5,5.B(4),Approximately how many of the employees reported in 5.A. are registered with one or more state securities authorities as investment adviser representatives for an investment adviser other than you?,Number,State-Registered Representatives for Other Advisers,Number of employees registered with state securities authorities as investment adviser representatives for an adviser other than the reporting adviser.
Form ADV,Item 5,5.B(5),Approximately how many of the employees reported in 5.A. are licensed agents of an insurance company or agency?,Number,Licensed Insurance Agents,Number of employees who are licensed agents of an insurance company or agency among the employees reported in 5.A.
Form ADV,Item 5,5.B(6),Approximately how many firms or other persons solicit advisory clients on your behalf?,Number,Firms/Persons Soliciting Clients,Number of firms or other persons that solicit advisory clients on behalf of the adviser (excluding employees).
Form ADV,Item 5,5.C(1),To approximately how many clients for whom you do not have regulatory assets under management did you provide investment advisory services during your most recently completed fiscal year?,Number,Advisory Clients Without Regulatory AUM,Number of clients who received investment advisory services but for whom the adviser does not have regulatory assets under management during the most recent fiscal year.
Form ADV,Item 5,5.C(2),Approximately what percentage of your clients are non-United States persons? %,Percentage,Percentage of Non-United States Clients,Percentage of the total client base that consists of non-United States persons.
Form ADV,Item 5,5.D,Indicate the approximate number of your clients and amount of your total regulatory assets under management (reported in Item 5.F. below) attributable to each of the following type of client. [See detailed types below],,,
Form ADV,Item 5,5.D.Type,Type of Client (a) Individuals (other than high net worth individuals),Text,Client Type Individuals,"Type of clients receiving advisory services, starting with individuals other than high net worth individuals."
Form ADV,Item 5,5.D(1),Number of Client(s) (a),Number,Number of Clients,Number of clients in each client type classification.
Form ADV,Item 5,5.D(2),Fewer than 5 Clients,Checkbox,Clients <5 Indicator,Indicator if there are fewer than 5 clients in a specific client type.
Form ADV,Item 5,5.D(3),Amount of Regulatory Assets under Management (a),Currency,Regulatory AUM,Amount of regulatory assets under management for each type of client classification.
Form ADV,Item 5,5.E,You are compensated for your investment advisory services by (check all that apply):,Checkbox,Compensation Methods [Multiple values],Methods through which the adviser is compensated for providing investment advisory services.
Form ADV,Item 5,5.E(1),A percentage of assets under your management,Checkbox,Percentage of AUM Fees,Indicates compensation by percentage of assets under management.
Form ADV,Item 5,5.E(2),Hourly charges,Checkbox,Hourly Charges Fees,Indicates compensation by hourly charges.
Form ADV,Item 5,5.E(3),Subscription fees (for a newsletter or periodical),Checkbox,Subscription Fees,Indicates compensation by subscription fees for newsletters or periodicals.
Form ADV,Item 5,5.E(4),Fixed fees (other than subscription fees),Checkbox,Fixed Fees,Indicates compensation by fixed fees (excluding subscription fees).
Form ADV,Item 5,5.E(5),Commissions,Checkbox,Commissions,Indicates compensation by commissions received.
Form ADV,Item 5,5.E(6),Performance-based fees,Checkbox,Performance-Based Fees,Indicates compensation by performance-based fees.
Form ADV,Item 5,5.E(7),Other (specify):,"Checkbox, Text","Other Compensation Methods, specify",Indicates other compensation methods along with specific details if applicable.
Form ADV,Item 5,5.F(1),Do you provide continuous and regular supervisory or management services to securities portfolios? (Yes/No),Checkbox,Supervisory/Management Services [Yes/No],Indicates whether the adviser provides continuous and regular supervisory or management services to securities portfolios.
Form ADV,Item 5,5.F(2),"If yes, what is the amount of your regulatory assets under management and total number of accounts?","Currency, Number",Regulatory AUM and Accounts,The specific amount of regulatory assets under management and the total number of accounts if the adviser provides continuous and regular supervisory or management services.
Form ADV,Item 5,5.F(2)(a),Discretionary: $ and Total Number of Accounts,"Currency, Number",Discretionary AUM and Accounts,Total amount of discretionary regulatory assets under management and number of related accounts.
Form ADV,Item 5,5.F(2)(b),Non-Discretionary: $ and Total Number of Accounts,"Currency, Number",Non-Discretionary AUM and Accounts,Total amount of non-discretionary regulatory assets under management and number of related accounts.
Form ADV,Item 5,5.F(2)(c),Total: $ and Total Number of Accounts,"Currency, Number",Total AUM and Accounts,Total amount of both discretionary and non-discretionary regulatory assets under management and number of related accounts.
Form ADV,Item 5,5.F(3),What is the approximate amount of your total regulatory assets under management (reported in Item 5.F.(2)(c) above) attributable to clients who are non-United States persons?,Currency,AUM from Non-United States Clients,Approximate amount of regulatory assets under management attributable to clients who are non-United States persons.
Form ADV,Item 5,5.G,What type(s) of advisory services do you provide? (Check all that apply),Checkbox,Types of Advisory Services [Multiple values],The specific types of advisory services that the adviser provides.
Form ADV,Item 5,5.G(1),Financial planning services,Checkbox,Financial Planning Services [Yes/No],Indicates whether financial planning services are provided.
Form ADV,Item 5,5.G(2),Portfolio management for individuals and/or small businesses,Checkbox,Portfolio Management for Individuals/Small Businesses [Yes/No],Indicates whether portfolio management services are provided for individuals and/or small businesses.
Form ADV,Item 5,5.G(3),Portfolio management for investment companies (as well as 'business development companies' that have made an election pursuant to section 54 of the Investment Company Act of 1940),Checkbox,Portfolio Management for Investment Companies [Yes/No],Indicates whether portfolio management services are provided for investment companies and business development companies.
Form ADV,Item 5,5.G(4),Portfolio management for pooled investment vehicles (other than investment companies),Checkbox,Portfolio Management for Pooled Investment Vehicles [Yes/No],Indicates whether portfolio management services are provided for pooled investment vehicles other than investment companies.
Form ADV,Item 5,5.G(5),Portfolio management for businesses (other than small businesses) or institutional clients (other than registered investment companies and other pooled investment vehicles),Checkbox,Portfolio Management for Businesses/Institutional Clients [Yes/No],Indicates whether portfolio management services are provided for businesses other than small businesses or institutional clients.
Form ADV,Item 5,5.G(6),Pension consulting services,Checkbox,Pension Consulting Services [Yes/No],Indicates whether pension consulting services are provided.
Form ADV,Item 5,5.G(7),Selection of other advisers (including private fund managers),Checkbox,Selection of Other Advisers [Yes/No],Indicates whether services include the selection of other advisers (including private fund managers).
Form ADV,Item 5,5.G(8),Publication of periodicals or newsletters,Checkbox,Publication of Periodicals/Newsletters [Yes/No],Indicates whether the adviser publishes periodicals or newsletters.
Form ADV,Item 5,5.G(9),Security ratings or pricing services,Checkbox,Security Ratings/Pricing Services [Yes/No],Indicates whether the adviser provides security ratings or pricing services.
Form ADV,Item 5,5.G(10),Market timing services,Checkbox,Market Timing Services [Yes/No],Indicates whether market timing services are provided.
Form ADV,Item 5,5.G(11),Educational seminars/workshops,Checkbox,Educational Seminars/Workshops [Yes/No],Indicates whether the adviser conducts educational seminars or workshops.
Form ADV,Item 5,5.G(12),Other (specify):,"Checkbox, Text","Other Services, specify","Indicates other advisory services provided, with specific details if applicable."
Form ADV,Item 5,5.H,"If you provide financial planning services, to how many clients did you provide these services during your last fiscal year?",Dropdown,Financial Planning Clients,The number of clients who received financial planning services during the adviser's last fiscal year.
Form ADV,Item 5,5.H.Options,"Select: 0, 1-10, 11-25, 26-50, 51-100, 101-250, 251-500, More than 500 (specify how many if more than 500)",Dropdown,Financial Planning Clients Selections,Options to specify the range of clients receiving financial planning services.
Form ADV,Item 5,5.I(1),Do you participate in a wrap fee program? (Yes/No),Checkbox,Wrap Fee Program Participation [Yes/No],Indicates whether the adviser participates in a wrap fee program.
Form ADV,Item 5,5.I(2),"If you participate in a wrap fee program, what is the amount of your regulatory assets under management attributable to acting as:",,,
Form ADV,Item 5,5.I(2)(a),sponsor to a wrap fee program $,Currency,AUM as Wrap Fee Program Sponsor,Amount of regulatory assets under management attributable to acting as a sponsor to a wrap fee program.
Form ADV,Item 5,5.I(2)(b),portfolio manager for a wrap fee program? $,Currency,AUM as Wrap Fee Program Portfolio Manager,Amount of regulatory assets under management attributable to acting as a portfolio manager for a wrap fee program.
Form ADV,Item 5,5.I(2)(c),sponsor to and portfolio manager for the same wrap fee program? $,Currency,AUM as Wrap Fee Program Sponsor & Portfolio Manager,Amount of regulatory assets under management attributable to acting as both a sponsor and portfolio manager for the same wrap fee program.
Form ADV,Item 5,5.J(1),"In response to Item 4.B. of Part 2A of Form ADV, do you indicate that you provide investment advice only with respect to limited types of investments? (Yes/No)",Checkbox,Limited Investment Advice [Yes/No],Indicates whether the adviser provides investment advice only with respect to limited types of investments.
Form ADV,Item 5,5.J(2),Do you report client assets in Item 4.E. of Part 2A that are computed using a different method than the method used to compute your regulatory assets under management? (Yes/No),Checkbox,Different Client Asset Computation Method [Yes/No],Indicates whether the client assets are computed using a different methodology than the one used for regulatory assets under management.
Form ADV,Item 5,5.K(1),Do you have regulatory assets under management attributable to clients other than those listed in Item 5.D.(3)(d)-(f) (separately managed account clients)? (Yes/No),Checkbox,SMA Clients with Regulatory AUM [Yes/No],Indicates whether there are regulatory assets under management attributed to separately managed account clients not listed in Item 5.D.(3)(d)-(f).
Form ADV,Item 5,5.K(2),Do you engage in borrowing transactions on behalf of any of the separately managed account clients that you advise? (Yes/No),Checkbox,Borrowing Transactions for SMA Clients [Yes/No],Indicates whether the adviser engages in borrowing transactions on behalf of any separately managed account clients.
Form ADV,Item 5,5.K(3),Do you engage in derivative transactions on behalf of any of the separately managed account clients that you advise? (Yes/No),Checkbox,Derivative Transactions for SMA Clients [Yes/No],Indicates whether the adviser engages in derivative transactions on behalf of any separately managed account clients.
Form ADV,Item 5,5.K(4),Does any custodian hold ten percent or more of the remaining amount of regulatory assets under management after subtracting items in Item 5.D.(3)(d)-(f)? (Yes/No),Checkbox,Custodians Holding ≥10% AUM [Yes/No],Indicates whether any custodian holds ten percent or more of the remaining regulatory assets after subtracting amounts listed in Item 5.D.(3)(d)-(f).
Form ADV,Item 5,5.L(1),Do any of your advertisements include:,Checkbox,Advertisement Elements [Multiple values],Elements included in advertisements published by the adviser.
Form ADV,Item 5,5.L(1)(a),Performance results? (Yes/No),Checkbox,Performance Results in Ads [Yes/No],Indicates whether performance results are included in advertisements.
Form ADV,Item 5,5.L(1)(b),A reference to specific investment advice provided by you? (Yes/No),Checkbox,Specific Investment Advice in Ads [Yes/No],Indicates whether specific investment advice is referenced in advertisements.
Form ADV,Item 5,5.L(1)(c),Testimonials (other than those that satisfy rule 206(4)-1(b)(4)(ii))? (Yes/No),Checkbox,Testimonials in Ads [Yes/No],"Indicates whether testimonials, excluding those satisfying rule 206(4)-1(b)(4)(ii), are included in advertisements."
Form ADV,Item 5,5.L(1)(d),Endorsements (other than those that satisfy rule 206(4)-1(b)(4)(ii))? (Yes/No),Checkbox,Endorsements in Ads [Yes/No],"Indicates whether endorsements, excluding those satisfying rule 206(4)-1(b)(4)(ii), are included in advertisements."
Form ADV,Item 5,5.L(1)(e),Third-party ratings? (Yes/No),Checkbox,Third-Party Ratings in Ads [Yes/No],Indicates whether third-party ratings are included in advertisements.
Form ADV,Item 5,5.L(2),"If you answer 'yes' to 5.L(1)(c), (d), or (e) above, do you pay or provide cash or non-cash compensation for the use of testimonials, endorsements, or third-party ratings? (Yes/No)",Checkbox,Compensation for Testimonials/Endorsements/Ratings [Yes/No],"Indicates whether compensation is provided for the use of testimonials, endorsements, or third-party ratings."
Form ADV,Item 5,5.L(3),Do any of your advertisements include hypothetical performance? (Yes/No),Checkbox,Hypothetical Performance in Ads [Yes/No],Indicates whether hypothetical performance metrics are included in advertisements.
Form ADV,Item 5,5.L(4),Do any of your advertisements include predecessor performance? (Yes/No),Checkbox,Predecessor Performance in Ads [Yes/No],Indicates whether predecessor performance metrics are included in advertisements.
Form ADV,Item 6,6.A,You are actively engaged in business as a (check all that apply):,Checkbox,Business Activities [Multiple Values],The types of business activities in which the adviser is actively engaged.
Form ADV,Item 6,6.A(1),broker-dealer (registered or unregistered),Checkbox,Business as Broker-Dealer [Yes/No],"Indicates whether the firm is actively engaged as a broker-dealer, regardless of registration status."
Form ADV,Item 6,6.A(2),registered representative of a broker-dealer,Checkbox,Registered Representative of Broker-Dealer [Yes/No],Indicates whether the firm has registered representatives of a broker-dealer actively engaged in business.
Form ADV,Item 6,6.A(3),commodity pool operator or commodity trading advisor (whether registered or exempt from registration),Checkbox,Commodity Pool Operator/Advisor [Yes/No],"Indicates whether the firm is actively engaged as a commodity pool operator or commodity trading advisor, registered or exempt."
Form ADV,Item 6,6.A(4),futures commission merchant,Checkbox,Futures Commission Merchant [Yes/No],Indicates whether the firm is actively engaged as a futures commission merchant.
Form ADV,Item 6,6.A(5),"real estate broker, dealer, or agent",Checkbox,Real Estate Broker/Dealer/Agent [Yes/No],"Indicates whether the firm is actively engaged as a real estate broker, dealer, or agent."
Form ADV,Item 6,6.A(6),insurance broker or agent,Checkbox,Insurance Broker/Agent [Yes/No],Indicates whether the firm is actively engaged as an insurance broker or agent.
Form ADV,Item 6,6.A(7),bank (including a separately identifiable department or division of a bank),Checkbox,Bank [Yes/No],Indicates whether the firm is actively engaged as a bank or a separately identifiable department or division of a bank.
